OriginalAddress1,PermitNum,PermitClass,PermitClassMapped,PermitTypeDesc,Description,HousingUnits,HousingUnitsRemoved,HousingUnitsAdded,AppliedDate,EstProjectCost,IssuedDate,ExpiresDate,StatusCurrent,OriginalCity,OriginalState,OriginalZip,ContractorCompanyName,Link,Latitude,Longitude,Location1
2500 WEST VIEWMONT WAY W,6598036-CN,Single Family/Duplex,Residential,New,"Establish use as and construct a single-family residence, per plans",,0,1,10/04/2017 12:00:00 AM,504098,08/10/2018 12:00:00 AM,08/10/2024 12:00:00 AM,Issued,SEATTLE,WA,98199,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6598036-CN,47.64139565,-122.4093358,"(47.64139565, -122.4093358)"
1803 29TH AVE S,6585769-CN,Single Family/Duplex,Residential,New,"Establish use as a single family residence and construct one family dwelling, per plans.",0,0,1,09/29/2017 12:00:00 AM,419270,06/11/2021 12:00:00 AM,06/11/2024 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6585769-CN,47.58671311,-122.29583792,"(47.58671311, -122.29583792)"
4220 SW 100TH ST,6619766-CN,Multifamily,Residential,New,"Construct center townhouse structure, per plan.  (Establish use as and construct 2 townhouse structures and one townhouse structure with one live-work unit, per plan.  Review & process for 3 APs under permit #6530891)",0,0,3,09/24/2017 12:00:00 AM,479014,12/31/2018 12:00:00 AM,12/30/2024 12:00:00 AM,Issued,SEATTLE,WA,98146,Chain Construction,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6619766-CN,47.51394144,-122.38698574,"(47.51394144, -122.38698574)"
4214 SW 100TH ST,6619767-CN,Multifamily,Residential,New,"Construct East townhouse structure, per plan.  (Establish use as and construct 2 townhouse structures and one townhouse structure with one live-work unit, per plan.  Review & process for 3 APs under permit #6530891)",0,0,2,09/24/2017 12:00:00 AM,479014,01/03/2019 12:00:00 AM,01/03/2025 12:00:00 AM,Issued,SEATTLE,WA,98146,Chain Construction,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6619767-CN,47.51394024,-122.38681976,"(47.51394024, -122.38681976)"
9856 CALIFORNIA AVE SW,6530891-CN,Multifamily,Residential,New,"Construct west townhouse / live-work structure, per plan.  (Establish use as and construct 2 townhouse structures and one townhouse structure with one live-work unit, per plan.  Review & process for 3 APs under permit #6530891)",0,0,2,09/24/2017 12:00:00 AM,563974,12/31/2018 12:00:00 AM,12/30/2024 12:00:00 AM,Issued,SEATTLE,WA,98136,Chain Construction,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6530891-CN,47.5139429,-122.38714211,"(47.5139429, -122.38714211)"
7001 SEAVIEW AVE NW,6618483-CN,Institutional,Non-Residential,New,"Change use to storage and construct alterations to central restroom building (M5), occupy per plan. (Establish use as and construct 3 new restroom buildings, construct alterations to 2 existing restroom buildings to convert to utility buildings, and construct site improvements at Shilshole Bay Marina, occupy per plan.  Mechanical is included.  Review & process for 5 AP's under #6611622).",,,,09/21/2017 12:00:00 AM,28655,07/23/2018 12:00:00 AM,01/23/2020 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6618483-CN,47.68002469,-122.40580069,"(47.68002469, -122.40580069)"
4544 20TH AVE NE,6514933-CN,Multifamily,Residential,New,"Establish use as apartment and construct new multifamily building, occupy per plan.",,0,31,09/21/2017 12:00:00 AM,1097765,10/10/2018 12:00:00 AM,10/10/2024 12:00:00 AM,Issued,SEATTLE,WA,98105,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6514933-CN,47.66255649,-122.30624307,"(47.66255649, -122.30624307)"
936 N 77TH ST,6598248-CN,Single Family/Duplex,Residential,New,"Establish use as and construct a single-family residence with attached garage, per plan",,0,1,09/20/2017 12:00:00 AM,379248,04/08/2018 12:00:00 AM,10/08/2019 12:00:00 AM,Issued,SEATTLE,WA,98103,RON DAY,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6598248-CN,47.68495738,-122.34554059,"(47.68495738, -122.34554059)"
800 COLUMBIA ST,6319280-PH,Commercial,Non-Residential,New,"Phased project:  Construction of an apartment building with below grade parking and occupy, per plan.  Includes mechanical.",0,0,271,09/19/2017 12:00:00 AM,72760513,03/05/2019 12:00:00 AM,03/05/2025 12:00:00 AM,Issued,SEATTLE,WA,98104,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6319280-PH,47.60682449,-122.32705753,"(47.60682449, -122.32705753)"
3209 NW 65TH ST,6593381-CN,Commercial,Non-Residential,New,Establish use as eating and drinking area with covered trellis.,,0,0,09/10/2017 12:00:00 AM,17000,07/25/2018 12:00:00 AM,01/25/2020 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6593381-CN,47.67543386,-122.39890012,"(47.67543386, -122.39890012)"
1326 N NORTHLAKE WAY,6584711-CN,Commercial,Non-Residential,New,"Construct office and restaurant building with below grade parking and occupy, per plan. Mechanical included.",,0,0,09/07/2017 12:00:00 AM,6192209,01/10/2019 12:00:00 AM,12/05/2024 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6584711-CN,47.64805991,-122.34149978,"(47.64805991, -122.34149978)"
811 NE 66TH ST,6489640-CN,Multifamily,Residential,New,Establish use as and construct new apartment building and occupy per plan.,0,0,20,09/01/2017 12:00:00 AM,1250681,08/04/2022 12:00:00 AM,08/04/2025 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6489640-CN,47.67640699,-122.31935667,"(47.67640699, -122.31935667)"
1332 14TH AVE S,6615859-CN,Multifamily,Residential,New,"Construct NORTH (3-unit) row house this permit. [Establish use as rowhouse and construct one 3-unit and one 4-unit townhouse structure with surface parking, per plan. Process and routing for (2) A/P's with 6585414].",,0,3,08/30/2017 12:00:00 AM,564668,08/07/2018 12:00:00 AM,02/07/2020 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6615859-CN,47.5905726,-122.31464241,"(47.5905726, -122.31464241)"
7350 33RD AVE S,6589965-CN,Single Family/Duplex,Residential,New,"Establish use as and construct single family residence with attached garage, per plan",,0,1,08/28/2017 12:00:00 AM,487324,09/01/2018 12:00:00 AM,09/01/2024 12:00:00 AM,Issued,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6589965-CN,47.53552703,-122.28961847,"(47.53552703, -122.28961847)"
7346 33RD AVE S,6589953-CN,Single Family/Duplex,Residential,New,"Establish use as and construct a single family residence, per plan",,0,1,08/27/2017 12:00:00 AM,395898,07/05/2019 12:00:00 AM,07/05/2025 12:00:00 AM,Issued,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6589953-CN,47.5355159,-122.28937213,"(47.5355159, -122.28937213)"
3045 CALIFORNIA AVE SW,6580328-CN,Commercial,Non-Residential,New,"Establish use as multifamily residential and retail and construct mixed use apartment building with attached parking, occupy per plan.",3,0,0,08/27/2017 12:00:00 AM,1637048,01/07/2019 12:00:00 AM,01/07/2025 12:00:00 AM,Issued,SEATTLE,WA,98116,STEVE ZEASMAN,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6580328-CN,47.57576049,-122.38716491,"(47.57576049, -122.38716491)"
7307 7TH AVE SW,6561105-CN,Single Family/Duplex,Residential,New,"Establish use a single family residence and construct one family dwelling, per plans.",,0,1,08/24/2017 12:00:00 AM,364243,06/18/2018 12:00:00 AM,12/18/2019 12:00:00 AM,Issued,SEATTLE,WA,98106,SEATTLE CUSTOM CONTRACTORS LLC,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6561105-CN,47.53654106,-122.34485788,"(47.53654106, -122.34485788)"
2420 NE NORTHGATE WAY,6579760-CN,Single Family/Duplex,Residential,New,"Establish use as and construct single family residence, per plan.",0,0,2,08/21/2017 12:00:00 AM,320705,08/30/2019 12:00:00 AM,02/28/2024 12:00:00 AM,Issued,SEATTLE,WA,98125,TAISEY DESIGN & CONSTRUCTION,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6579760-CN,47.70954406,-122.30226608,"(47.70954406, -122.30226608)"
7009 GREENWOOD AVE N,6596357-CN,Commercial,Non-Residential,New,"Establish use as and construct a mixed-use building, occupy per plans",0,0,35,08/21/2017 12:00:00 AM,7034241,05/21/2019 12:00:00 AM,05/21/2025 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6596357-CN,47.67977744,-122.3558571,"(47.67977744, -122.3558571)"
3021 62ND AVE SW,6597285-CN,Single Family/Duplex,Residential,New,"Establish use as and construct new single family residence with attached garage, per plan.",,0,1,08/15/2017 12:00:00 AM,272347,12/07/2017 12:00:00 AM,06/07/2019 12:00:00 AM,Issued,SEATTLE,WA,98116,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6597285-CN,47.57699328,-122.41254779,"(47.57699328, -122.41254779)"
7724 16TH AVE SW,6596746-CN,Single Family/Duplex,Residential,New,"Remove existing detached garage and establish use as and construct a single family residence with attached garage, per plan.",,0,1,08/08/2017 12:00:00 AM,328733,04/10/2018 12:00:00 AM,10/10/2019 12:00:00 AM,Issued,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6596746-CN,47.53302004,-122.35470372,"(47.53302004, -122.35470372)"
4035 STONE WAY N,6599695-PH,Commercial,Non-Residential,New,"Phased project:  Construction of a residential and retail building with below grade parking and occupy, per plan",48,0,8,08/03/2017 12:00:00 AM,6377388,03/07/2018 12:00:00 AM,09/07/2025 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6599695-PH,47.65629705,-122.34297572,"(47.65629705, -122.34297572)"
1531 NW 65TH ST,6596955-CN,Single Family/Duplex,Residential,New,"Establish use as and construct north single family residence (A) with surface parking, per plan (Establish use as and construct three single family residences with surface parking, per plan (3APs under 6596955)",,0,1,08/02/2017 12:00:00 AM,242200,01/23/2018 12:00:00 AM,07/23/2019 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6596955-CN,47.67587939,-122.37775819,"(47.67587939, -122.37775819)"
1533 NW 65TH ST,6611073-CN,Single Family/Duplex,Residential,New,"Establish use as and construct middle single family residence (B) with surface parking, per plan (Establish use as and construct three single family residences with surface parking, per plan (3APs under 6596955)",,0,1,08/02/2017 12:00:00 AM,242200,04/11/2018 12:00:00 AM,07/23/2019 12:00:00 AM,Issued,SEATTLE,WA,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6611073-CN,47.67578443,-122.37776196,"(47.67578443, -122.37776196)"
3233 13TH AVE W,6550427-CN,Single Family/Duplex,Residential,New,"Establish use and construct single family dwelling  with attached garage, per plan.",,0,1,07/27/2017 12:00:00 AM,594501,05/08/2018 12:00:00 AM,05/08/2024 12:00:00 AM,Issued,SEATTLE,WA,98119,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6550427-CN,47.64953583,-122.37392517,"(47.64953583, -122.37392517)"
10540 GREENWOOD AVE N,6575534-CN,Commercial,Non-Residential,New,"Construction of residential and retail building with below grade parking and occupy, per plan.",0,0,63,07/05/2017 12:00:00 AM,6574521,01/14/2021 12:00:00 AM,07/14/2025 12:00:00 AM,Issued,SEATTLE,WA,98133,Forza Homes Inc.,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6575534-CN,47.7062114,-122.35498804,"(47.7062114, -122.35498804)"
2950 S DAKOTA ST,6450812-CN,Commercial,Non-Residential,New,"Establish use as apartments, construct apartment building and occupy, per plans.",0,0,80,06/30/2017 12:00:00 AM,5613265,11/27/2019 12:00:00 AM,05/27/2024 12:00:00 AM,Issued,SEATTLE,WA,98108,Petra,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6450812-CN,47.56658387,-122.29657061,"(47.56658387, -122.29657061)"
707 N 71ST ST,6586416-CN,Single Family/Duplex,Residential,New,"Establish use as and construct new single family residence with attached garage, per plan.",,0,1,06/20/2017 12:00:00 AM,395515,08/30/2017 12:00:00 AM,02/28/2019 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6586416-CN,47.68012152,-122.34945124,"(47.68012152, -122.34945124)"
5601 26TH AVE SW,6530131-CN,Single Family/Duplex,Residential,New,"Establish use as and construct a single-family residence, per plan.",,0,1,06/20/2017 12:00:00 AM,278488,10/27/2018 12:00:00 AM,10/27/2024 12:00:00 AM,Issued,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6530131-CN,47.55179426,-122.36583937,"(47.55179426, -122.36583937)"
11907 LAKESIDE PL NE,6360554-CN,Single Family/Duplex,Residential,New,"Establish use as and construct a single family residence with attached garage, per plan.",0,0,2,06/16/2017 12:00:00 AM,326214,05/23/2019 12:00:00 AM,05/23/2025 12:00:00 AM,Issued,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6360554-CN,47.71585912,-122.27956616,"(47.71585912, -122.27956616)"
221 23RD AVE E,6577849-CN,Multifamily,Residential,New,"Establish use as apartment and construct new multifamily building, occupy per plan",,0,9,06/13/2017 12:00:00 AM,650787,05/11/2018 12:00:00 AM,05/11/2024 12:00:00 AM,Issued,SEATTLE,WA,98112,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6577849-CN,47.62089666,-122.302855,"(47.62089666, -122.302855)"
1506 1ST AVE N,6583149-CN,Single Family/Duplex,Residential,New,"Establish use as rowhouse and construct a duplex with surface parking, per plan.",,0,2,06/11/2017 12:00:00 AM,498633,02/13/2018 12:00:00 AM,08/13/2019 12:00:00 AM,Issued,SEATTLE,WA,98109,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6583149-CN,47.63261166,-122.35542373,"(47.63261166, -122.35542373)"
708 14TH AVE,6554586-CN,Multifamily,Residential,New,"Establish use as and construct single family residence and townhouse structure, per plan.",0,0,4,06/08/2017 12:00:00 AM,637698,10/18/2018 12:00:00 AM,10/18/2024 12:00:00 AM,Issued,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6554586-CN,47.60834941,-122.31385353,"(47.60834941, -122.31385353)"
7200 EAST MARGINAL WAY S,6587286-CN,Commercial,Non-Residential,New,"Construct a canopy accessory to an existing gas station, per plans.",,0,0,06/08/2017 12:00:00 AM,27917,08/08/2018 12:00:00 AM,02/08/2020 12:00:00 AM,Issued,SEATTLE,WA,98108,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6587286-CN,47.53880882,-122.31991222,"(47.53880882, -122.31991222)"
5632 NE 55TH ST,6570481-CN,Single Family/Duplex,Residential,New,"Construct new single family residence, per plan.",,0,1,06/07/2017 12:00:00 AM,738711,01/03/2018 12:00:00 AM,07/03/2019 12:00:00 AM,Issued,SEATTLE,WA,98105,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6570481-CN,47.66876206,-122.26474959,"(47.66876206, -122.26474959)"
6435 NE WINDERMERE RD,6574420-CN,Single Family/Duplex,Residential,New,"Establish use as and construct a single-family residence and bunker garage, per plans",,0,1,06/05/2017 12:00:00 AM,1000000,03/27/2018 12:00:00 AM,03/27/2024 12:00:00 AM,Issued,SEATTLE,WA,98105,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6574420-CN,47.66937617,-122.25806563,"(47.66937617, -122.25806563)"
5229 M L KING JR WAY S,6569896-CN,Multifamily,Residential,New,"Construct new townhouse structure bldg. B to the East, occupy per plan.  (Establish use as live work and residential use and construct 1 new townhouse structure and 1 new single family residence, per plan.  Review & process for 2 records under 6569896-CN).",0,0,1,06/05/2017 12:00:00 AM,1136030,06/13/2019 12:00:00 AM,06/13/2025 12:00:00 AM,Issued,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6569896-CN,47.55447739,-122.28995424,"(47.55447739, -122.28995424)"
3754 W LAWTON ST,6547821-CN,Single Family/Duplex,Residential,New,"Establish use as and construct new single family residence with accessory dwelling unit and detached garage, per plan.",0,0,2,06/01/2017 12:00:00 AM,920187,10/15/2018 12:00:00 AM,04/15/2020 12:00:00 AM,Issued,SEATTLE,WA,98199,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6547821-CN,47.66540556,-122.40815123,"(47.66540556, -122.40815123)"
1600 9TH AVE,6501134-PH,Commercial,Non-Residential,New,"Phased project:  Construction of convention center building with below grade parking and occupy, per plan.  Project includes mechanical review. (see also 6507024 and 6550917).",0,0,0,05/26/2017 12:00:00 AM,223537945,10/12/2018 12:00:00 AM,10/12/2024 12:00:00 AM,Issued,SEATTLE,WA,98101,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6501134-PH,47.6141635,-122.33180671,"(47.6141635, -122.33180671)"
3039 SW AVALON WAY,6574894-CN,Multifamily,Residential,New,"Construct a multifamily structure with below grade parking, occupy per plan.",0,0,71,05/12/2017 12:00:00 AM,6653671,08/31/2022 12:00:00 AM,02/29/2024 12:00:00 AM,Issued,SEATTLE,WA,98126,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6574894-CN,47.56578036,-122.37158138,"(47.56578036, -122.37158138)"
5606 2ND AVE S,6539199-CN,Commercial,Non-Residential,New,"Construct accessory structure to establish office use to an existing single family residence, per plan.",,0,0,05/12/2017 12:00:00 AM,43071,09/06/2017 12:00:00 AM,03/06/2019 12:00:00 AM,Issued,SEATTLE,WA,98108,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6539199-CN,47.55247222,-122.3321758,"(47.55247222, -122.3321758)"
10336 WALLINGFORD AVE N,6592275-CN,Single Family/Duplex,Residential,New,"Estabish use and construct new single family residence with garage and attached accessory dwelling unit (ADU), per plan.",0,0,1,05/08/2017 12:00:00 AM,506777,03/19/2018 12:00:00 AM,09/19/2022 12:00:00 AM,Issued,SEATTLE,WA,98133,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6592275-CN,47.70435957,-122.3353653,"(47.70435957, -122.3353653)"
9030 35TH AVE SW,6534329-CN,Multifamily,Residential,New,"Establish use as and construct a mixed-use structure with attached parking, occupy per plan.",0,0,44,05/04/2017 12:00:00 AM,5038605,04/20/2020 12:00:00 AM,10/20/2024 12:00:00 AM,Issued,SEATTLE,WA,98126,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6534329-CN,47.5219026,-122.37638435,"(47.5219026, -122.37638435)"
9235 16TH AVE SW,6594521-CN,Single Family/Duplex,Residential,New,"Construct NE duplex, per plan (Establish use as townhouse and construct (4) new duplexes, review and process for 4 AP's under 6550317)",,0,2,05/01/2017 12:00:00 AM,433793,02/28/2018 12:00:00 AM,02/28/2024 12:00:00 AM,Issued,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6594521-CN,47.52000918,-122.35540376,"(47.52000918, -122.35540376)"
9239 16TH AVE SW,6594522-CN,Single Family/Duplex,Residential,New,"Construct SW duplex per plan (Establish use as townhouse and construct (4) new duplexes, review and process for 4 AP's under 6550317)",,0,2,05/01/2017 12:00:00 AM,435831,02/28/2018 12:00:00 AM,02/28/2024 12:00:00 AM,Issued,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6594522-CN,47.51989291,-122.35573427,"(47.51989291, -122.35573427)"
9241 16TH AVE SW,6594523-CN,Single Family/Duplex,Residential,New,"Construct SE duplex per plan (Establish use as townhouse and construct (4) new duplexes, review and process for 4 AP's under 6550317)",,0,2,05/01/2017 12:00:00 AM,433793,02/28/2018 12:00:00 AM,02/28/2024 12:00:00 AM,Issued,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6594523-CN,47.51990188,-122.35540717,"(47.51990188, -122.35540717)"
614 13TH AVE E,6551761-CN,Multifamily,Residential,New,"Construct new apartment building, occupy per plan.",,0,20,04/19/2017 12:00:00 AM,1953343,10/23/2019 12:00:00 AM,04/23/2024 12:00:00 AM,Issued,SEATTLE,WA,98102,JOHN RICHARDS,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6551761-CN,47.62471843,-122.31537716,"(47.62471843, -122.31537716)"
3921 NE SURBER DR,6556096-CN,Single Family/Duplex,Residential,New,"Establish use as and construct a single-family residence with detached garage, per plans.",,0,1,04/17/2017 12:00:00 AM,677266,12/05/2017 12:00:00 AM,06/05/2025 12:00:00 AM,Issued,SEATTLE,WA,98105,Stu Johnson,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6556096-CN,47.65587149,-122.28612026,"(47.65587149, -122.28612026)"
919 W MCGRAW ST,6570515-CN,Multifamily,Residential,New,"Construct a 2 unit townhouse building (Building H) with attached garage, per plans.",,0,2,04/13/2017 12:00:00 AM,526834,04/17/2018 12:00:00 AM,10/17/2019 12:00:00 AM,Issued,SEATTLE,WA,98119,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6570515-CN,47.63921286,-122.36952368,"(47.63921286, -122.36952368)"
2101 NE 88TH ST,6575774-CN,Multifamily,Residential,New,"3/15/21 REM: Expiration date extended to 4/23/21 to allow for completion of site work.  Construct bldg, A, per plans. (Establish use as and construct townhouse buildings and site work including retaining walls, per plans. Reviews and processing for 18 A/P's under 6575774)",,0,4,04/07/2017 12:00:00 AM,921076,02/13/2018 12:00:00 AM,04/30/2021 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6575774-CN,47.69198768,-122.30559373,"(47.69198768, -122.30559373)"
2505 BEACON AVE S,6532922-CN,Multifamily,Residential,New,"Construct new mixed-use residential building, occupy per plan.",0,0,106,04/07/2017 12:00:00 AM,10259963,03/11/2021 12:00:00 AM,03/11/2024 12:00:00 AM,Issued,SEATTLE,WA,98144,JAKE POWELL,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6532922-CN,47.58076053,-122.3139148,"(47.58076053, -122.3139148)"
6612 CORSON AVE S,6554078-CN,Multifamily,Residential,New,"Construct (east) townhouse and occupy, per plan. (Establish use as and construct new townhouse and new single family residence and processing of 2 AP's under 6554078).",,0,3,03/23/2017 12:00:00 AM,598641,10/31/2017 12:00:00 AM,04/30/2019 12:00:00 AM,Issued,SEATTLE,WA,98108,HABERZETLE HOMES INC,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6554078-CN,47.54403993,-122.32207992,"(47.54403993, -122.32207992)"
6610 CORSON AVE S,6587632-CN,Multifamily,Residential,New,"Construct (south) single family residence, per plan. Existing structure to remain.(Establish use as and construct new townhouse and new single family residence and processing of 2 AP's under 6554078).",,0,1,03/23/2017 12:00:00 AM,278346,10/31/2017 12:00:00 AM,04/30/2019 12:00:00 AM,Issued,SEATTLE,WA,98108,HABERZETLE HOMES INC,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6587632-CN,47.54403402,-122.3223121,"(47.54403402, -122.3223121)"
5952 CALIFORNIA AVE SW,6574262-CN,Multifamily,Residential,New,Construct new multifamily building and occupy per plan.,0,0,42,03/22/2017 12:00:00 AM,1915035,02/24/2020 12:00:00 AM,08/24/2024 12:00:00 AM,Issued,SEATTLE,WA,98136,"ACE CONSTRUCTION SERVICES,  LLC dba ACS, LLC",https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6574262-CN,47.54878143,-122.38678025,"(47.54878143, -122.38678025)"
813 S WARSAW ST,6586359-CN,Multifamily,Residential,New,"Construct new single family residence #2 to the South, per plan. (Establish use as and construct two new single family residences, per plan.  Review and process for two A/P's under 6550274).",0,0,1,03/16/2017 12:00:00 AM,234666,03/29/2018 12:00:00 AM,03/29/2024 12:00:00 AM,Issued,SEATTLE,WA,98108,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6586359-CN,47.54416492,-122.32199744,"(47.54416492, -122.32199744)"
811 S WARSAW ST,6550274-CN,Single Family/Duplex,Residential,New,"Construct new single family residence #1 to the North, per plan. (Establish use as and construct two new single family residences, per plan. Review and process for two A/P's under 6550274).",0,0,1,03/16/2017 12:00:00 AM,232210,03/29/2018 12:00:00 AM,03/29/2024 12:00:00 AM,Issued,SEATTLE,WA,98108,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6550274-CN,47.54424664,-122.3219694,"(47.54424664, -122.3219694)"
3020 B 4TH AVE W,6569236-CN,Single Family/Duplex,Residential,New,"Establish use as and construct a single-family residence and exterior alterations to existing single family residence, per plan.",,0,1,03/15/2017 12:00:00 AM,305903,10/18/2018 12:00:00 AM,04/18/2020 12:00:00 AM,Issued,SEATTLE,WA,98119,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6569236-CN,47.64732726,-122.36166619,"(47.64732726, -122.36166619)"
5604 23RD AVE SW,6516363-CN,Single Family/Duplex,Residential,New,"Construct two unit rowhouse with attached garages, per plan",,0,2,02/16/2017 12:00:00 AM,645227,01/11/2019 12:00:00 AM,01/11/2025 12:00:00 AM,Issued,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6516363-CN,47.55177277,-122.3615096,"(47.55177277, -122.3615096)"
4024 M L KING JR WAY S,6559286-CN,Single Family/Duplex,Residential,New,"Establish use as townhouse and construct new duplex with surface parking, per plan.",,0,2,02/10/2017 12:00:00 AM,189200,09/07/2017 12:00:00 AM,03/07/2019 12:00:00 AM,Issued,SEATTLE,WA,98108,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6559286-CN,47.5672736,-122.29632817,"(47.5672736, -122.29632817)"
3412 AIRPORT WAY S,6543101-CN,Commercial,Non-Residential,New,"Construct car dealership and occupy, per plan.",,0,0,01/25/2017 12:00:00 AM,2955538,10/11/2017 12:00:00 AM,03/30/2025 12:00:00 AM,Issued,SEATTLE,WA,98134,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6543101-CN,47.57271129,-122.32203385,"(47.57271129, -122.32203385)"
2839 MOUNT ST HELENS PL S,6546221-CN,Single Family/Duplex,Residential,New,"Establish use as and construct new single family residence on existing foundation, per plan.",,0,1,01/04/2017 12:00:00 AM,537748,04/11/2017 12:00:00 AM,10/11/2024 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6546221-CN,47.5771645,-122.28660903,"(47.5771645, -122.28660903)"
